salon;grupo;lugar;semana;fecha;alimento;precio;unidades;observaciones
3;5;paloquemao;1;7/02/2020;cebolla;700;lb;NA
3;5;paloquemao;1;7/02/2020;coliflor;5000;unidad;NA
3;5;paloquemao;1;7/02/2020;papa;1500;lb;NA
3;5;paloquemao;1;7/02/2020;tomate;1800;lb;NA
3;5;paloquemao;1;7/02/2020;zanahoria;1500;lb;NA
3;5;paloquemao;1;7/02/2020;fresa;5000;lb;NA
3;5;paloquemao;1;7/02/2020;granadilla;10000;media docena;NA
3;5;paloquemao;1;7/02/2020;lulo;1500;lb;NA
3;5;paloquemao;1;7/02/2020;manzana;1200;unidad;NA
3;5;paloquemao;1;7/02/2020;maracuya;2000;lb;NA
3;5;ara;2;7/02/2020;cebolla;590;lb;NA
3;5;ara;2;7/02/2020;coliflor;NA;NA;no había
3;5;ara;2;7/02/2020;papa;NA;NA;no había
3;5;ara;2;7/02/2020;tomate;1350;lb;NA
3;5;ara;2;7/02/2020;zanahoria;850;unidad;NA
3;5;ara;2;7/02/2020;fresa;NA;NA;no había 
3;5;ara;2;7/02/2020;granadilla;4290;unidad;NA
3;5;ara;2;7/02/2020;lulo;1950;lb;NA
3;5;ara;2;7/02/2020;manzana;1490;unidad;NA
3;5;ara;2;7/02/2020;maracuya;NA;NA;NA
3;5;paloquemao;3;15/02/2020;cebolla;1000;lb;NA
3;5;paloquemao;3;15/02/2020;coliflor;5000;unidad;NA
3;5;paloquemao;3;15/02/2020;papa;1000;lb;NA
3;5;paloquemao;3;15/02/2020;tomate;1500;lb;NA
3;5;paloquemao;3;15/02/2020;zanahoria;1000;lb;NA
3;5;paloquemao;3;15/02/2020;fresa;7000;lb;NA
3;5;paloquemao;3;15/02/2020;granadilla;12000;docena;NA
3;5;paloquemao;3;15/02/2020;lulo;2000;lb;NA
3;5;paloquemao;3;15/02/2020;manzana;1500;unidad;NA
3;5;paloquemao;3;15/02/2020;maracuya;2000;lb;NA
3;5;ara;4;19/02/2020;cebolla;740;lb;NA
3;5;ara;4;19/02/2020;coliflor;NA;NA;no había
3;5;ara;4;19/02/2020;papa;NA;NA;no había
3;5;ara;4;19/02/2020;tomate;1490;lb;NA
3;5;ara;4;19/02/2020;zanahoria;990;lb;NA
3;5;ara;4;19/02/2020;fresa;4990;lb;NA
3;5;ara;4;19/02/2020;granadilla;5900;lb;NA
3;5;ara;4;19/02/2020;lulo;1950;lb;NA
3;5;ara;4;19/02/2020;manzana;1490;unidad;NA
3;5;ara;4;19/02/2020;maracuya;NA;NA;no había
