"","salon","grupo","lugar","semana","fecha","alimento","precio","unidades","observaciones"
"1",3,5,"paloquemao",1,"7/02/2020","cebolla",700,"lb",NA
"2",3,5,"paloquemao",1,"7/02/2020","coliflor",5000,"unidad",NA
"3",3,5,"paloquemao",1,"7/02/2020","papa",1500,"lb",NA
"4",3,5,"paloquemao",1,"7/02/2020","tomate",1800,"lb",NA
"5",3,5,"paloquemao",1,"7/02/2020","zanahoria",1500,"lb",NA
"6",3,5,"paloquemao",1,"7/02/2020","fresa",5000,"lb",NA
"7",3,5,"paloquemao",1,"7/02/2020","granadilla",10000,"media docena",NA
"8",3,5,"paloquemao",1,"7/02/2020","lulo",1500,"lb",NA
"9",3,5,"paloquemao",1,"7/02/2020","manzana",1200,"unidad",NA
"10",3,5,"paloquemao",1,"7/02/2020","maracuya",2000,"lb",NA
"11",3,5,"ara",2,"7/02/2020","cebolla",590,"lb",NA
"12",3,5,"ara",2,"7/02/2020","coliflor",NA,NA,"no había"
"13",3,5,"ara",2,"7/02/2020","papa",NA,NA,"no había"
"14",3,5,"ara",2,"7/02/2020","tomate",1350,"lb",NA
"15",3,5,"ara",2,"7/02/2020","zanahoria",850,"unidad",NA
"16",3,5,"ara",2,"7/02/2020","fresa",NA,NA,"no había "
"17",3,5,"ara",2,"7/02/2020","granadilla",4290,"unidad",NA
"18",3,5,"ara",2,"7/02/2020","lulo",1950,"lb",NA
"19",3,5,"ara",2,"7/02/2020","manzana",1490,"unidad",NA
"20",3,5,"ara",2,"7/02/2020","maracuya",NA,NA,NA
"21",3,5,"paloquemao",3,"15/02/2020","cebolla",1000,"lb",NA
"22",3,5,"paloquemao",3,"15/02/2020","coliflor",5000,"unidad",NA
"23",3,5,"paloquemao",3,"15/02/2020","papa",1000,"lb",NA
"24",3,5,"paloquemao",3,"15/02/2020","tomate",1500,"lb",NA
"25",3,5,"paloquemao",3,"15/02/2020","zanahoria",1000,"lb",NA
"26",3,5,"paloquemao",3,"15/02/2020","fresa",7000,"lb",NA
"27",3,5,"paloquemao",3,"15/02/2020","granadilla",12000,"docena",NA
"28",3,5,"paloquemao",3,"15/02/2020","lulo",2000,"lb",NA
"29",3,5,"paloquemao",3,"15/02/2020","manzana",1500,"unidad",NA
"30",3,5,"paloquemao",3,"15/02/2020","maracuya",2000,"lb",NA
"31",3,5,"ara",4,"19/02/2020","cebolla",740,"lb",NA
"32",3,5,"ara",4,"19/02/2020","coliflor",NA,NA,"no había"
"33",3,5,"ara",4,"19/02/2020","papa",NA,NA,"no había"
"34",3,5,"ara",4,"19/02/2020","tomate",1490,"lb",NA
"35",3,5,"ara",4,"19/02/2020","zanahoria",990,"lb",NA
"36",3,5,"ara",4,"19/02/2020","fresa",4990,"lb",NA
"37",3,5,"ara",4,"19/02/2020","granadilla",5900,"lb",NA
"38",3,5,"ara",4,"19/02/2020","lulo",1950,"lb",NA
"39",3,5,"ara",4,"19/02/2020","manzana",1490,"unidad",NA
"40",3,5,"ara",4,"19/02/2020","maracuya",NA,NA,"no había"
