salon;grupo;lugar;semana;fecha;alimento;precio;unidades;observaciones
3;5;paloquemao;1;;cebolla;700;lb;NA
3;5;paloquemao;1;;coliflor;5000;unidad;NA
3;5;paloquemao;1;;papa;1500;lb;NA
3;5;paloquemao;1;;tomate;1800;lb;NA
3;5;paloquemao;1;;zanahoria;1500;lb;NA
3;5;paloquemao;1;;fresa;5000;lb;NA
3;5;paloquemao;1;;granadilla;10000;media docena;NA
3;5;paloquemao;1;;lulo;1500;lb;NA
3;5;paloquemao;1;;manzana;1200;unidad;NA
3;5;paloquemao;1;;maracuya;2000;lb;NA
3;5;ara;2;;cebolla;590;lb;NA
3;5;ara;2;;coliflor;NA;NA;no había
3;5;ara;2;;papa;NA;NA;no había
3;5;ara;2;;tomate;1350;lb;NA
3;5;ara;2;;zanahoria;850;unidad;NA
3;5;ara;2;;fresa;NA;NA;no había 
3;5;ara;2;;granadilla;4290;unidad;NA
3;5;ara;2;;lulo;1950;lb;NA
3;5;ara;2;;manzana;1490;unidad;NA
3;5;ara;2;;maracuya;NA;NA;NA
3;5;paloquemao;3;;cebolla;1000;lb;NA
3;5;paloquemao;3;;coliflor;5000;unidad;NA
3;5;paloquemao;3;;papa;1000;lb;NA
3;5;paloquemao;3;;tomate;1500;lb;NA
3;5;paloquemao;3;;zanahoria;1000;lb;NA
3;5;paloquemao;3;;fresa;7000;lb;NA
3;5;paloquemao;3;;granadilla;12000;docena;NA
3;5;paloquemao;3;;lulo;2000;lb;NA
3;5;paloquemao;3;;manzana;1500;unidad;NA
3;5;paloquemao;3;;maracuya;2000;lb;NA
3;5;ara;4;;cebolla;740;lb;NA
3;5;ara;4;;coliflor;NA;NA;no había
3;5;ara;4;;papa;NA;NA;no había
3;5;ara;4;;tomate;1490;lb;NA
3;5;ara;4;;zanahoria;990;lb;NA
3;5;ara;4;;fresa;4990;lb;NA
3;5;ara;4;;granadilla;5900;lb;NA
3;5;ara;4;;lulo;1950;lb;NA
3;5;ara;4;;manzana;1490;unidad;NA
3;5;ara;4;;maracuya;NA;NA;no había
